"","symbol","MEcolor","gene.signif.corr","gene.signif.corr.pval"
"57","1700025G04Rik","grey",-0.0674221397602374,0.728212522888848
"58","1700028K03Rik","yellow",0.0695375305991388,0.720018959664926
"59","1700028P14Rik","grey",0.0882536530972642,0.648932888430173
"60","1700029I15Rik","turquoise",-0.0996988847796964,0.60685808464233
"61","1700029J07Rik","yellow",-0.0859581578212464,0.657505816851696
"62","1700030J22Rik","turquoise",0.0188572163096961,0.922654323583646
"63","1700030K09Rik","yellow",0.0965687059068086,0.618250988342386
"64","1700034G24Rik","tan",0.0386803922339383,0.842096918110101
"65","1700034H15Rik","brown",0.0125613583916009,0.948435268804727
"66","1700037C18Rik","blue",0.0786608917759767,0.685037810139397
"67","1700037H04Rik","blue",-0.0522165202719002,0.787922769793884
"68","1700040D17Rik","brown",0.00616970636308596,0.974660547128641
"69","1700047M11Rik","turquoise",-0.0130853747441874,0.946287173363099
"70","1700048O20Rik","turquoise",0.160501987745847,0.40556573839036
"71","1700052K11Rik","blue",-0.360267540779272,0.0548845192811175
"72","1700063D05Rik","turquoise",0.0475659283181703,0.806439787635073
"73","1700066M21Rik","magenta",0.047602851499369,0.806292354613019
"74","1700071M16Rik","blue",-0.0420149071779881,0.828675923387339
"75","1700086L19Rik","turquoise",-0.0145186949815437,0.940413501481142
"76","1700086O06Rik","turquoise",-0.212674189798053,0.268017916256807
"77","1700088E04Rik","turquoise",-0.144033113739958,0.456015628296065
"78","1700094D03Rik","yellow",-0.0540975029002046,0.780464749900381
"79","1700096K18Rik","brown",0.00325061566863055,0.986647944768001
"80","1700102P08Rik","grey",-0.0557677710701317,0.77385811482912
"81","1700109H08Rik","brown",0.113401951847046,0.558063471397487
"82","1700113A16Rik","turquoise",-0.139032866852153,0.471964791972899
"83","1700123M08Rik","grey",0.0688986510855358,0.722490389657087
"84","1700123O20Rik","brown",-0.0919006908115906,0.63540252333819
"85","1700124L16Rik","turquoise",0.0662370671620542,0.732815577662525
"86","1810010H24Rik","blue",0.05654941552586,0.770771640642088
"87","1810013L24Rik","turquoise",-7.40302319335983e-05,0.999695903993898
"88","1810014B01Rik","blue",-0.0881606471395999,0.649279393304946
"89","1810020O05Rik","yellow",0.0790849184394932,0.683426727724379
"90","1810021B22Rik","yellow",-0.091829575313026,0.635665282412832
"91","1810026B05Rik","yellow",-0.104629397119568,0.589094707010231
"92","1810030O07Rik","turquoise",0.0795458664116561,0.681676904779237
"93","1810037I17Rik","blue",0.0854559576833674,0.659387097995063
"94","1810055G02Rik","turquoise",-0.0576449790006481,0.766451362006317
"95","1810058I24Rik","blue",0.00495440630972574,0.979650730660428
"96","2010001A14Rik","turquoise",-0.058315693366979,0.763809813498009
"97","2010204K13Rik","blue",-0.0598275815254853,0.757864920481339
"98","2010300C02Rik","magenta",-0.246489025869599,0.197400616628664
"99","2010315B03Rik","brown",0.185872131808909,0.334359272885889
"100","2010320M18Rik","blue",0.0835644543816211,0.666490996376205
"101","2210016F16Rik","blue",0.0140900880589443,0.942169603766677
"102","2210016L21Rik","blue",-0.102265126085324,0.597584356113551
"103","2210406O10Rik","blue",0.199683976374398,0.29902055926163
"104","2210408F21Rik","tan",0.160639794178344,0.405157355689026
"105","2210408I21Rik","turquoise",0.0266878147819549,0.890698267625097
"106","2210416O15Rik","yellow",-0.0432991679578493,0.823519281528948
"107","2300009A05Rik","blue",-0.0406337397259099,0.834229447213956
"108","2310002D06Rik","turquoise",0.0505174429229044,0.794675364259598
"109","2310002F09Rik","turquoise",0.134477873771722,0.486742096171396
"110","2310009B15Rik","blue",-0.177454877037428,0.357088608514208
"111","2310010J17Rik","turquoise",-0.160522831588952,0.405503953784637
"112","2310011J03Rik","blue",-0.121545437669006,0.52994747824135
"113","2310015A10Rik","green",0.159382936945591,0.408890570260948
"114","2310022A10Rik","turquoise",-0.0582991826405072,0.763874808529132
"115","2310022B05Rik","blue",-0.0122406430126858,0.949750149782656
"116","2310030G06Rik","grey",-0.0266114217915896,0.89100929476984
"117","2310033P09Rik","blue",-0.00194116641842628,0.99202634268233
"118","2310039H08Rik","blue",0.145155088512893,0.452476622982662
"119","2310043M15Rik","brown",0.180687639365043,0.348252863890347
"120","2310057M21Rik","turquoise",0.205678450235766,0.28444470588721
"121","2310061I04Rik","turquoise",0.0230205882532435,0.905646121721326
"122","2310069G16Rik","red",0.106448407397634,0.582598958167009
"123","2410002F23Rik","turquoise",-0.242921489043756,0.204173291835731
"124","2410004B18Rik","red",0.0613180804250947,0.752017322285998
"125","2410004P03Rik","green",0.0243713343825964,0.900136453088409
"126","2410006H16Rik","blue",0.0193473668440666,0.920650083631759
"127","2410018L13Rik","turquoise",0.0710695521933936,0.714103788772397
"128","2410022M11Rik","black",-0.0973583904689293,0.615368460492081
"129","2410131K14Rik","turquoise",-0.0248157947747522,0.898324486865186
"130","2500004C02Rik","grey",0.0898826757501845,0.642875442559488
"131","2510002D24Rik","turquoise",0.0151356224060127,0.937886288033998
"132","2510009E07Rik","black",-0.079084240852754,0.683429301122078
"133","2510039O18Rik","blue",-0.229370204465829,0.231344914361779
"134","2610001J05Rik","blue",0.119710680903456,0.536222356418384
"135","2610002M06Rik","turquoise",0.0873517279721337,0.652296131391436
"136","2610005L07Rik","blue",0.068044083546279,0.725800453915679
"137","2610008E11Rik","brown",-0.105018890958617,0.587701161633015
"138","2610035D17Rik","blue",0.135669667633862,0.482853061357205
"139","2610044O15Rik8","grey",0.305349126870812,0.107231399924427
"140","2610301B20Rik","blue",0.0921442838111605,0.63450281897374
"141","2610306M01Rik","blue",-0.0562586229843623,0.771919494066003
"142","2610316D01Rik","grey",0.0211874569827359,0.913130240004037
"143","2610507B11Rik","brown",-0.137304584351077,0.477544054673704
"144","2610507I01Rik","grey",-0.105384394279447,0.586394760204437
"145","2610524H06Rik","blue",-0.0380695849957841,0.844560149691177
"146","2700038G22Rik","yellow",0.201787440262832,0.293853308170479
"147","2700046G09Rik","turquoise",-0.0650982857180874,0.737247386833879
"148","2700049A03Rik","brown",0.0975171946847404,0.614789462788593
"149","2700054A10Rik","yellow",-0.19473494151504,0.311402141812888
"150","2700062C07Rik","turquoise",-0.121876641698936,0.528818521187767
"151","2700081O15Rik","yellow",-0.253164422152611,0.18514789605848
"152","2700097O09Rik","grey",-0.306073609450527,0.106358488018248
"153","2700099C18Rik","grey",-0.164877497798588,0.39271272008516
"154","2810001G20Rik","turquoise",-0.141617244712755,0.463685510055044
"155","2810002D19Rik","grey",0.105333976714887,0.586574889821824
"156","2810004N23Rik","yellow",-0.0831986674590052,0.667868063479553
"157","2810006K23Rik","blue",0.0380312031881035,0.844714981976648
"158","2810013P06Rik","turquoise",-0.0007303740481006,0.996999829169904
"159","2810021J22Rik","turquoise",0.00842491892384069,0.965402962078286
"160","2810025M15Rik","blue",-0.144386026986966,0.45490086653102
"161","2810029C07Rik","yellow",-0.0387501655104803,0.841815632363952
"162","2810032G03Rik","blue",-0.158064330847023,0.412827868289443
"163","2810049E08Rik","yellow",-0.0818772916370243,0.672851371892034
"164","2810410L24Rik","purple",-0.0848691134861373,0.661588039321016
"165","2810414N06Rik","blue",-0.164043147421547,0.395145468127302
"166","2810459M11Rik","blue",0.0583037379979986,0.763856876054079
"167","2900005J15Rik","brown",0.183259344460085,0.341318429417615
"168","2900026A02Rik","blue",0.0376762999525724,0.846146929652375
"169","2900040C04Rik","pink",0.234117528185571,0.22156389067834
"170","2900041M22Rik","grey",0.144394883750258,0.454872908939894
"171","2900052L18Rik","yellow",0.0667898069067039,0.73066748893936
"172","2900052N01Rik","blue",-0.0134632517697864,0.944738373212977
"173","2900076A07Rik","yellow",0.036964603128703,0.849019892414296
"174","2900079G21Rik","blue",-0.0849152492902684,0.661414908146216
"175","2900092D14Rik","greenyellow",-0.0475898406780275,0.8063443056449
"176","2900093K20Rik","turquoise",-0.0613449983636548,0.751911838766021
"177","2900097C17Rik","grey",-0.182237904850463,0.344062628462468
"178","3000002C10Rik","yellow",0.0712673736686243,0.713341167054016
"179","3110009E18Rik","grey",0.0759054470176378,0.695539744790117
"180","3110039M20Rik","grey",0.213280795459708,0.266623132828954
"181","3110040N11Rik","blue",0.0484347892864285,0.80297218535008
"182","3110056K07Rik","brown",-0.0143246410004192,0.941208552424504
"183","3110070M22Rik","blue",-0.108327841715541,0.57592076286693
"184","3110082I17Rik","brown",-0.194363968580168,0.312342907596307
