"symbol","logFC","P.Value","chr","description"
"Mcrip2",0.446044863899037,0.3676,"17","MAPK regulated corepressor interacting protein 2"
"Pcdhb16",-0.44597691651742,0.2172,"18","protocadherin beta 16"
"Toe1",0.444505290342604,0.0028,"4","target of EGR1, member 1 (nuclear)"
"Dnajb9",-0.444384092691985,0.1856,"12","DnaJ heat shock protein family (Hsp40) member B9"
"9130024F11Rik",-0.444118268290105,0.2064,"1","RIKEN cDNA 9130024F11 gene"
"Nid1",-0.443819903682083,0.4824,"13","nidogen 1"
"Col1a2",-0.443194321643813,0.448,"6","collagen, type I, alpha 2"
"Ythdc2",-0.4429382300903,0.4444,"18","YTH domain containing 2"
"Selplg",-0.44221740356013,0.6356,"5","selectin, platelet (p-selectin) ligand"
"Mrpl52",0.439132546825821,0.2772,"14","mitochondrial ribosomal protein L52"
"Prkag2os1",0.437844252312892,0.626,"5","protein kinase, AMP-activated, gamma 2 non-catalytic subunit, opposite strand 1"
"Fli1",-0.437049098377804,0.3584,"9","Friend leukemia integration 1"
"Necab2",0.437047980363421,0.0808,"8","N-terminal EF-hand calcium binding protein 2"
"Syt9",0.43629909995984,0.1504,"7","synaptotagmin IX"
"Angptl6",0.435702514691923,0.0772,"9","angiopoietin-like 6"
"Galnt7",-0.435694044535749,0.1104,"8","polypeptide N-acetylgalactosaminyltransferase 7"
"Rpl18",0.43478047180621,0.3084,"7","ribosomal protein L18"
"Cacng5",0.434762097493027,0.1688,"11","calcium channel, voltage-dependent, gamma subunit 5"
"Snrpd2",0.434552282893995,0.316,"7","small nuclear ribonucleoprotein D2"
"Rilpl2",0.433769299757999,0.0168,"5","Rab interacting lysosomal protein-like 2"
"Fzd6",-0.433362107975052,0.1796,"15","frizzled class receptor 6"
"Tshz2",-0.432780376529123,0.5884,"2","teashirt zinc finger family member 2"
"Rbp1",-0.431816511204602,0.2868,"9","retinol binding protein 1, cellular"
"Ranbp3l",-0.431603605188393,0.0212,"15","RAN binding protein 3-like"
"Ascl1",-0.431087070009342,0.0028,"10","achaete-scute family bHLH transcription factor 1"
"Usp45",-0.430785007688092,0.4444,"4","ubiquitin specific petidase 45"
"Fmc1",0.429824646996693,0.126,"6","formation of mitochondrial complex V assembly factor 1"
"Gm1043",-0.429279804860801,0.3404,"5","predicted gene 1043"
"Cd68",-0.428988956597895,0.0412,"11","CD68 antigen"
"Mt2",0.428985834322761,0.3456,"8","metallothionein 2"
"Setbp1",-0.42719750475338,0.342,"18","SET binding protein 1"
"Ky",0.426364588212132,0.1036,"9","kyphoscoliosis peptidase"
"Dock4",-0.425360490054444,0.5752,"12","dedicator of cytokinesis 4"
"Trnp1",0.425061167056346,0.1532,"4","TMF1-regulated nuclear protein 1"
"Col15a1",-0.424877354389579,0.2196,"4","collagen, type XV, alpha 1"
"Dctpp1",0.424419211444702,0.2968,"7","dCTP pyrophosphatase 1"
"Hipk2",-0.423634631104957,0.1084,"6","homeodomain interacting protein kinase 2"
"Homer1",-0.423259363704822,0.3192,"13","homer scaffolding protein 1"
"Wasf1",-0.423071666853064,0.5024,"10","WASP family, member 1"
"Thbs4",-0.422754660096937,0.0732,"13","thrombospondin 4"
"Ifit3b",-0.422680146006327,0.3424,"19","interferon-induced protein with tetratricopeptide repeats 3B"
"Csf1r",-0.421890472486588,0.6912,"18","colony stimulating factor 1 receptor"
"Fcrls",-0.421441226401958,0.7396,"3","Fc receptor-like S, scavenger receptor"
"Marchf7",-0.420341197487523,0.6312,"2","membrane associated ring-CH-type finger 7"
"Rps27a",0.420108003922735,0.3524,"11","ribosomal protein S27A"
"A2m",-0.419496001536681,0.482,"6","alpha-2-macroglobulin"
"Zfp771",0.419436479085889,0.3096,"7","zinc finger protein 771"
