"symbol","logFC","P.Value","chr","description"
"Myl9",-0.233807084354094,0.1234,"2","myosin, light polypeptide 9, regulatory"
"Fyb",-0.233700859647217,0.4776,"15","FYN binding protein"
"Steap2",-0.233095993155589,0.2534,"5","six transmembrane epithelial antigen of prostate 2"
"Fcgr3",-0.231682465904279,0.422,"1","Fc receptor, IgG, low affinity III"
"Edn3",-0.231518350665419,0.2122,"2","endothelin 3"
"Ppp1ccb",0.231334457494112,0.0674,"7","protein phosphatase 1 catalytic subunit gamma B"
"Fyb2",0.23049945078641,0.2282,"4","FYN binding protein 2"
"Ccdc163",0.230353739278378,0.2192,"4","coiled-coil domain containing 163"
"Il13ra1",-0.230236532284015,0.2254,"X","interleukin 13 receptor, alpha 1"
"Col9a3",-0.230067847489282,0.4402,"2","collagen, type IX, alpha 3"
"Helz2",-0.229939444860904,0.2154,"2","helicase with zinc finger 2, transcriptional coactivator"
"Tmem255a",-0.228401669424158,0.1136,"X","transmembrane protein 255A"
"Ddx3y",0.228326991439229,0.8892,"Y","DEAD box helicase 3, Y-linked"
"Cdc25a",0.228152434022959,0.095,"9","cell division cycle 25A"
"Pcdha12",-0.228067891054599,0.4532,"18","protocadherin alpha 12"
"Pcdhga12",-0.22806161841521,0.1488,"18","protocadherin gamma subfamily A, 12"
"Cd55",-0.227995692488558,0.086,"1","CD55 molecule, decay accelerating factor for complement"
"Serpinb1a",-0.227797393953806,0.2866,"13","serine (or cysteine) peptidase inhibitor, clade B, member 1a"
"Gprin3",-0.227608201997206,0.596,"6","GPRIN family member 3"
"Rgs5",-0.227549039503205,0.234,"1","regulator of G-protein signaling 5"
"Inhbb",-0.227431430966484,0.0328,"1","inhibin beta-B"
"Ucp2",-0.226893381505566,0.221,"7","uncoupling protein 2 (mitochondrial, proton carrier)"
"Bgn",-0.226854589669707,0.0714,"X","biglycan"
"Cd53",-0.225958848471664,0.5668,"3","CD53 antigen"
"Bin2",-0.225441417646688,0.3842,"15","bridging integrator 2"
"Bmp6",-0.225436909310538,0.2822,"13","bone morphogenetic protein 6"
"Dach1",-0.225274242691476,0.0934,"14","dachshund family transcription factor 1"
"Prrx1",-0.225043205649636,0.007,"1","paired related homeobox 1"
"Hspb1",-0.225015873457282,0.1488,"5","heat shock protein 1"
"Etnppl",0.224752978765747,0.169,"3","ethanolamine phosphate phospholyase"
"Ccn2",-0.22470078437113,0.3442,"10","cellular communication network factor 2"
"Cdhr3",0.22459775151082,0.1398,"12","cadherin-related family member 3"
"Klf4",-0.22443751343517,0.3602,"4","Kruppel-like factor 4 (gut)"
"Parm1",-0.223933652677192,0.3814,"5","prostate androgen-regulated mucin-like protein 1"
"Map3k15",0.223844223304043,0.4176,"X","mitogen-activated protein kinase kinase kinase 15"
"Pear1",-0.223763527731076,0.143,"3","platelet endothelial aggregation receptor 1"
"Sgcd",-0.2237598373403,0.1792,"11","sarcoglycan, delta (dystrophin-associated glycoprotein)"
"Tpm2",-0.223542601704841,0.1042,"4","tropomyosin 2, beta"
"Ctsh",-0.223205424284721,0.355,"9","cathepsin H"
"Frem1",-0.222892140837066,0.3462,"4","Fras1 related extracellular matrix protein 1"
"Vcam1",-0.222651229108107,0.0462,"3","vascular cell adhesion molecule 1"
"Medag",0.22259372565534,0.1346,"5","mesenteric estrogen dependent adipogenesis"
"Tagln",-0.222530386691096,0.1168,"9","transgelin"
"Aldob",-0.222256564817259,0.2494,"4","aldolase B, fructose-bisphosphate"
"Adgrf5",-0.221568535570435,0.296,"17","adhesion G protein-coupled receptor F5"
"Ltc4s",-0.22122245335617,0.431,"11","leukotriene C4 synthase"
"Cdkl4",-0.221186533096418,0.0522,"17","cyclin-dependent kinase-like 4"
"Adamts2",-0.221086177421408,0.0936,"11","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 2"
"1700007F19Rik",-0.220469718786453,0.2362,"3","RIKEN cDNA 1700007F19 gene"
"Tgfbr2",-0.22026572627556,0.2262,"9","transforming growth factor, beta receptor II"
"Ddc",0.220205494102802,0.1404,"11","dopa decarboxylase"
"Kit",-0.219563080813261,0.0568,"5","KIT proto-oncogene receptor tyrosine kinase"
"Scrg1",0.219138957981039,0.0354,"8","scrapie responsive gene 1"
"Flywch2",0.217915751089452,0.2534,"17","FLYWCH family member 2"
"Tppp3",0.217887779996909,0.2522,"8","tubulin polymerization-promoting protein family member 3"
"Notch3",-0.217818784021492,0.129,"17","notch 3"
"Srgn",-0.217704685749276,0.323,"10","serglycin"
"Egr1",-0.216218070245022,0.1206,"18","early growth response 1"
"4833422C13Rik",0.215353329910015,0.1004,"13","RIKEN cDNA 4833422C13 gene"
"Mfap4",0.215172710470636,0.0724,"11","microfibrillar-associated protein 4"
"Pecam1",-0.215035406069995,0.1366,"11","platelet/endothelial cell adhesion molecule 1"
"Cdh22",-0.214916491067194,0.117,"2","cadherin 22"
"Adamts8",0.213911853544412,0.2052,"9","a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8"
"Arrdc2",0.213617721784936,0.3438,"8","arrestin domain containing 2"
"Col12a1",-0.213581497172842,0.3656,"9","collagen, type XII, alpha 1"
"Mt2",0.213311557851311,0.2438,"8","metallothionein 2"
"Irgm1",-0.213261709672011,0.057,"11","immunity-related GTPase family M member 1"
"Efna5",-0.213231671137212,0.099,"17","ephrin A5"
"Cfap46",0.212465482901547,0.3546,"7","cilia and flagella associated protein 46"
"Ephb4",-0.212234309822478,0.0842,"5","Eph receptor B4"
"Trp73",0.211977987770931,0.1072,"4","transformation related protein 73"
"Colec12",-0.211583574219937,0.4536,"18","collectin sub-family member 12"
"Zc3hav1",-0.211578179624257,0.019,"6","zinc finger CCCH type, antiviral 1"
"S100a11",-0.211476131758131,0.3086,"3","S100 calcium binding protein A11"
"Mfsd2a",0.211290371826655,0.0258,"4","major facilitator superfamily domain containing 2A"
"Arhgdib",-0.211159969632362,0.1932,"6","Rho, GDP dissociation inhibitor (GDI) beta"
"Sh3bp2",0.2110965670858,0.105,"5","SH3-domain binding protein 2"
"Acer2",-0.210664244968144,0.1288,"4","alkaline ceramidase 2"
"Igfbp6",-0.210474076866856,0.145,"15","insulin-like growth factor binding protein 6"
"Tie1",-0.210139109697679,0.1608,"4","tyrosine kinase with immunoglobulin-like and EGF-like domains 1"
"Ifi27",-0.210094448206803,0.1514,"12","interferon, alpha-inducible protein 27"
"Wfdc1",-0.210046352474727,0.0376,"8","WAP four-disulfide core domain 1"
"Snhg16",-0.209885819987267,0.2934,"11","small nucleolar RNA host gene 16"
"Ets1",-0.209480779482352,0.311,"9","E26 avian leukemia oncogene 1, 5' domain"
"Mad2l1bp",0.208841069365073,0.0522,"17","MAD2L1 binding protein"
"Nedd1",-0.208381280296304,0.0628,"10","neural precursor cell expressed, developmentally down-regulated gene 1"
"Lcp1",-0.208235886233611,0.4276,"14","lymphocyte cytosolic protein 1"
"Ctss",-0.207631612559851,0.5136,"3","cathepsin S"
"Sox17",-0.207392445547041,0.2252,"1","SRY (sex determining region Y)-box 17"
"Cxcl12",-0.207344627943781,0.0574,"6","chemokine (C-X-C motif) ligand 12"
"Rasgrp3",-0.206552538820768,0.1894,"17","RAS, guanyl releasing protein 3"
"Iqgap1",-0.206332450918884,0.1144,"7","IQ motif containing GTPase activating protein 1"
"Uaca",-0.204595900983885,0.08,"9","uveal autoantigen with coiled-coil domains and ankyrin repeats"
"Kdr",-0.203839667364992,0.353,"5","kinase insert domain protein receptor"
