"symbol","logFC","P.Value","chr","description"
"Pdia5",0.409913383829605,0.1776,"16","protein disulfide isomerase associated 5"
"Tm6sf2",0.409288141506072,0.4408,"8","transmembrane 6 superfamily member 2"
"Gt(ROSA)26Sor",0.407680657724871,0.072,"6","gene trap ROSA 26, Philippe Soriano"
"Rpl37rt",0.407218384190315,0.0364,"5","ribosomal protein L37, retrotransposed"
"Ddi2",-0.407125281644922,0.2168,"4","DNA-damage inducible protein 2"
"Myh7",-0.406354282196532,0.1068,"14","myosin, heavy polypeptide 7, cardiac muscle, beta"
"Crtap",-0.406208272102643,0.1104,"9","cartilage associated protein"
"Cfap126",-0.404634299784132,0.4172,"1","cilia and flagella associated protein 126"
"Cacng5",-0.404191382366778,0.1328,"11","calcium channel, voltage-dependent, gamma subunit 5"
"Prelp",-0.402775417939158,0.0992,"1","proline arginine-rich end leucine-rich repeat"
"Rgs5",-0.40264161050473,0.0444,"1","regulator of G-protein signaling 5"
"Pinx1",0.40119434364231,0.008,"14","PIN2/TERF1 interacting, telomerase inhibitor 1"
"Entpd1",-0.400422521024131,0.0692,"19","ectonucleoside triphosphate diphosphohydrolase 1"
"Pcdhga12",-0.399995604035225,0.0484,"18","protocadherin gamma subfamily A, 12"
"Emcn",-0.399623198669536,0.0716,"3","endomucin"
"Pde3a",-0.399206134977333,0.1664,"6","phosphodiesterase 3A, cGMP inhibited"
"2900076A07Rik",0.398516668343602,0.2524,"7","RIKEN cDNA 2900076A07 gene"
"Ppp1ccb",0.397394108248148,0.012,"7","protein phosphatase 1 catalytic subunit gamma B"
"Cntn4",-0.395569126961102,0.0688,"6","contactin 4"
"Tm4sf1",-0.395355467942118,0.3172,"3","transmembrane 4 superfamily member 1"
"Pcdh1",-0.395195018802892,0.1776,"18","protocadherin 1"
"Oscar",0.394795034002902,0.3864,"7","osteoclast associated receptor"
"Zfp58",0.39408650385585,0.0252,"13","zinc finger protein 58"
"Slc32a1",-0.393222478172527,0.0448,"2","solute carrier family 32 (GABA vesicular transporter), member 1"
"Ksr2",-0.391910356370531,0.2732,"5","kinase suppressor of ras 2"
"Neil1",0.391094480909238,0.308,"9","nei endonuclease VIII-like 1 (E. coli)"
"Rhpn1",0.390600533684708,0.15,"15","rhophilin, Rho GTPase binding protein 1"
"Cep95",0.390223657826149,0.1644,"11","centrosomal protein 95"
"Hmox1",0.388866901819345,0.024,"8","heme oxygenase 1"
"Rps27",0.38847546837102,0.224,"3","ribosomal protein S27"
"Mks1",0.386355912217448,0.0188,"11","MKS transition zone complex subunit 1"
"Cdkl4",-0.386265074941318,0.0068,"17","cyclin-dependent kinase-like 4"
"Pcdhgb2",-0.385836685271373,0.1816,"18","protocadherin gamma subfamily B, 2"
"Paqr5",-0.385745086765655,0.3132,"9","progestin and adipoQ receptor family member V"
"Fzd6",-0.38523451080671,0.0488,"15","frizzled class receptor 6"
"Zic4",-0.385039933464877,0.4692,"9","zinc finger protein of the cerebellum 4"
"Itgam",-0.384331665732697,0.3956,"7","integrin alpha M"
"Trpc6",0.384158126860513,0.156,"9","transient receptor potential cation channel, subfamily C, member 6"
"C4a",0.38404918102265,0.378,"17","complement component 4A (Rodgers blood group)"
"Mrc2",-0.383119407767128,0.1836,"11","mannose receptor, C type 2"
"Gbp4",-0.3830880767977,0.5236,"5","guanylate binding protein 4"
"Mir682",0.38179129858817,0.0396,"13","microRNA 682"
"Mir5125",0.380112283204832,0.3948,"17","microRNA 5125"
"D930048N14Rik",0.379204366267248,0.372,"11","RIKEN cDNA D930048N14 gene"
"Lef1",-0.377895355600589,0.0568,"3","lymphoid enhancer binding factor 1"
"Lnpep",-0.377351477553948,0.4048,"17","leucyl/cystinyl aminopeptidase"
"Gm14322",0.375551747850286,0.1464,"2","predicted gene 14322"
"Ifit1",-0.375324349957779,0.484,"19","interferon-induced protein with tetratricopeptide repeats 1"
"C130074G19Rik",-0.372727315839289,0.0528,"1","RIKEN cDNA C130074G19 gene"
"Ptchd1",0.372461688128265,0.0644,"X","patched domain containing 1"
"Eng",-0.371565232377976,0.018,"2","endoglin"
"Gm11681",0.371380740877686,0.084,"11","predicted gene 11681"
"Vtn",-0.370869834005782,0.0664,"11","vitronectin"
"Isoc2b",0.370629630817047,0.0296,"7","isochorismatase domain containing 2b"
"4833422C13Rik",0.370621707502263,0.2904,"13","RIKEN cDNA 4833422C13 gene"
"Pecam1",-0.370409841269207,0.0276,"11","platelet/endothelial cell adhesion molecule 1"
"Ptpn2",0.370306620719306,0.1944,"18","protein tyrosine phosphatase, non-receptor type 2"
"Megf9",-0.36951276525694,0.3224,"4","multiple EGF-like-domains 9"
"Slc39a2",0.369063655989936,0.4412,"14","solute carrier family 39 (zinc transporter), member 2"
"Lsr",-0.369024001297961,0.1352,"7","lipolysis stimulated lipoprotein receptor"
"Dyrk2",-0.367772120478319,0.2588,"10","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 2"
"Acrbp",0.367336798721966,0.3748,"6","proacrosin binding protein"
"Nynrin",-0.367065811991452,0.1332,"14","NYN domain and retroviral integrase containing"
"Arntl2",0.366704880430017,0.4116,"6","aryl hydrocarbon receptor nuclear translocator-like 2"
"Tubd1",0.36664699075035,0.1536,"11","tubulin, delta 1"
"Bgn",-0.365899441594985,0.1016,"X","biglycan"
"Stc1",-0.364418160079126,0.1184,"14","stanniocalcin 1"
"Kdr",-0.364240618157828,0.0708,"5","kinase insert domain protein receptor"
"Sgms2",-0.363927439129651,0.3804,"3","sphingomyelin synthase 2"
"Pgam2",0.363327346003804,0.3044,"11","phosphoglycerate mutase 2"
"Dus4l",0.363289479729709,0,"12","dihydrouridine synthase 4-like (S. cerevisiae)"
"Nemp1",0.362579369159516,0.204,"10","nuclear envelope integral membrane protein 1"
"Nemp1",0.362579369159516,0.204,"10","nuclear envelope integral membrane protein 1"
"Pcgf6",0.361797610561918,0.1216,"19","polycomb group ring finger 6"
"Syt10",-0.360022815813358,0.4868,"15","synaptotagmin X"
"Abcc9",-0.359879714809224,0.2156,"6","ATP-binding cassette, sub-family C (CFTR/MRP), member 9"
"Chac2",0.359105211431884,0.0332,"11","ChaC, cation transport regulator 2"
"Malat1",0.35904158102243,0.5028,"19","metastasis associated lung adenocarcinoma transcript 1 (non-coding RNA)"
"Hspa12b",-0.357957465750072,0.038,"2","heat shock protein 12B"
"Rel",-0.357910058534016,0.0436,"11","reticuloendotheliosis oncogene"
"Ifitm2",-0.357768163026113,0.1624,"7","interferon induced transmembrane protein 2"
"Nxph1",-0.357529985252148,0.1712,"6","neurexophilin 1"
"Tcf15",0.355319929886635,0.1484,"2","transcription factor 15"
"Cast",-0.354966404499449,0.148,"13","calpastatin"
"2410004P03Rik",-0.354335584536189,0.5864,"12","RIKEN cDNA 2410004P03 gene"
"Trip11",-0.354320874039464,0.3448,"12","thyroid hormone receptor interactor 11"
"Cavin2",-0.354133251626679,0.0488,"1","caveolae associated 2"
"Qtrt1",0.353825532619559,0.2068,"9","queuine tRNA-ribosyltransferase catalytic subunit 1"
"Fhod3",-0.353031279416661,0.1012,"18","formin homology 2 domain containing 3"
"Pcdh11x",0.352962785604162,0.1316,"X","protocadherin 11 X-linked"
"Tox",-0.352330028873814,0.4092,"4","thymocyte selection-associated high mobility group box"
"Plk5",0.352071552896127,0.0728,"10","polo like kinase 5"
"Mcm5",-0.35112671269133,0.0496,"8","minichromosome maintenance complex component 5"
"Htr7",-0.35040927308545,0.1284,"19","5-hydroxytryptamine (serotonin) receptor 7"
"Fmod",-0.350149792242769,0.6376,"1","fibromodulin"
"Gin1",0.35014290726109,0.1048,"1","gypsy retrotransposon integrase 1"
"Plekhg4",0.348994968621201,0.4188,"8","pleckstrin homology domain containing, family G (with RhoGef domain) member 4"
