"symbol","logFC","P.Value","chr","description"
"Dync1li2",0.0759055984015893,0.3576,"8","dynein, cytoplasmic 1 light intermediate chain 2"
"Nrxn2",0.0758693435008642,0.178,"19","neurexin II"
"Pgbd5",0.0758584552530213,0.3804,"8","piggyBac transposable element derived 5"
"Znhit1",-0.075850119944989,0.7452,"5","zinc finger, HIT domain containing 1"
"Akap8l",-0.0758030757481132,0.6768,"17","A kinase (PRKA) anchor protein 8-like"
"Dpy19l1",-0.075774385428125,0.6728,"9","dpy-19-like 1 (C. elegans)"
"Rnf180",0.0757403654237421,0.642,"13","ring finger protein 180"
"Sox5",0.0757400499823278,0.4844,"6","SRY (sex determining region Y)-box 5"
"Adgrb2",-0.0757332635117987,0.4452,"4","adhesion G protein-coupled receptor B2"
"Lrrn3",0.0757024060961928,0.4388,"12","leucine rich repeat protein 3, neuronal"
"Hgh1",-0.0756729094442705,0.6728,"15","HGH1 homolog"
"Uso1",0.0756717677538479,0.6108,"5","USO1 vesicle docking factor"
"Pcgf6",-0.0756692728597419,0.7128,"19","polycomb group ring finger 6"
"Ppp1r10",0.0756515840572467,0.628,"17","protein phosphatase 1, regulatory subunit 10"
"Slc36a1",0.0755547656889624,0.6268,"11","solute carrier family 36 (proton/amino acid symporter), member 1"
"Zc3h15",0.0755536718904937,0.1376,"2","zinc finger CCCH-type containing 15"
"Mcrip1",-0.0755434290475776,0.5796,"11","MAPK regulated corepressor interacting protein 1"
"Cebpz",0.0755242741053506,0.5716,"17","CCAAT/enhancer binding protein zeta"
"Limd1",-0.075431701765841,0.582,"9","LIM domains containing 1"
"Taf9b",0.0754276436636436,0.4892,"X","TATA-box binding protein associated factor 9B"
"Fam193a",0.0754165963493048,0.4384,"5","family with sequence homology 193, member A"
"Cplx3",-0.0753976371045518,0.8524,"9","complexin 3"
"Fkbp4",0.0753735431028781,0.6704,"6","FK506 binding protein 4"
"Ccdc40",0.0753379033537454,0.8452,"11","coiled-coil domain containing 40"
"Nlrx1",0.0753234659052531,0.6704,"9","NLR family member X1"
"Mical2",0.0752756052417354,0.6352,"7","microtubule associated monooxygenase, calponin and LIM domain containing 2"
"Snx2",0.0752528755337876,0.5072,"18","sorting nexin 2"
"Abl1",0.0752336285721,0.4776,"2","c-abl oncogene 1, non-receptor tyrosine kinase"
"Ift172",-0.0752320493432252,0.6452,"5","intraflagellar transport 172"
"Neo1",0.0752248448580959,0.6092,"9","neogenin"
"Ubap1",-0.0751766984859499,0.3388,"4","ubiquitin-associated protein 1"
"Ccdc170",0.0751513958500875,0.8572,"10","coiled-coil domain containing 170"
"Mtrf1",-0.0751209271409743,0.7788,"14","mitochondrial translational release factor 1"
"Naa15",0.0751090594548778,0.3316,"3","N(alpha)-acetyltransferase 15, NatA auxiliary subunit"
"Gcnt2",0.0750950411446172,0.512,"13","glucosaminyl (N-acetyl) transferase 2, I-branching enzyme"
"Klf10",0.0750641538564985,0.6796,"15","Kruppel-like factor 10"
"Ccnk",0.0750504726542323,0.3376,"12","cyclin K"
"Fam167a",0.0750492834783103,0.7176,"14","family with sequence similarity 167, member A"
"Tent2",0.0750440747975984,0.344,"13","terminal nucleotidyltransferase 2"
"Pus10",-0.0750247148945284,0.7728,"11","pseudouridylate synthase 10"
"Gigyf1",-0.0750066802665792,0.6948,"5","GRB10 interacting GYF protein 1"
"Psma4",0.0749771190261761,0.6728,"9","proteasome subunit alpha 4"
"Hid1",-0.0749481197715092,0.3112,"11","HID1 domain containing"
"Zfp935",-0.0749376040091922,0.6884,"13","zinc finger protein 935"
"Ptpmt1",-0.0749317858713292,0.738,"2","protein tyrosine phosphatase, mitochondrial 1"
"Sik1",-0.0749305125669855,0.7692,"17","salt inducible kinase 1"
"Sigmar1",-0.074910304810559,0.5132,"4","sigma non-opioid intracellular receptor 1"
"Zfp869",0.0748997458436174,0.1912,"8","zinc finger protein 869"
"Ap3m2",0.0748966395226303,0.4556,"8","adaptor-related protein complex 3, mu 2 subunit"
"Scyl1",-0.0748713286977889,0.648,"19","SCY1-like 1 (S. cerevisiae)"
"Camsap3",0.0748496079642038,0.502,"8","calmodulin regulated spectrin-associated protein family, member 3"
"Endod1",0.0748028279466499,0.6436,"9","endonuclease domain containing 1"
"Nifk",-0.0747945966848498,0.3844,"1","nucleolar protein interacting with the FHA domain of MKI67"
"Fiz1",-0.0747813053754287,0.6696,"7","Flt3 interacting zinc finger protein 1"
"Shc1",0.0747792692809099,0.4944,"3","src homology 2 domain-containing transforming protein C1"
"Gnb5",-0.074754786706384,0.6444,"9","guanine nucleotide binding protein (G protein), beta 5"
"Rell2",-0.0747262329327745,0.5584,"18","RELT-like 2"
"Bcl9",0.0747173459472679,0.5812,"3","B cell CLL/lymphoma 9"
"Fbxo45",0.0747106816908678,0.1756,"16","F-box protein 45"
"Nmral1",0.0747037273009754,0.7092,"16","NmrA-like family domain containing 1"
"Ehmt2",-0.0747004395850768,0.532,"17","euchromatic histone lysine N-methyltransferase 2"
"Tle1",0.0746898831176832,0.1608,"4","transducin-like enhancer of split 1"
"Pde10a",0.0746757628897869,0.7356,"17","phosphodiesterase 10A"
"Mllt10",0.0746747602971745,0.5964,"2","myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10"
"Stpg1",-0.0746738279802499,0.7812,"4","sperm tail PG rich repeat containing 1"
"Slc22a15",0.0746687944574713,0.7076,"3","solute carrier family 22 (organic anion/cation transporter), member 15"
"Ergic2",0.0746681101166802,0.4924,"6","ERGIC and golgi 2"
"Dst",0.0746636406561034,0.7568,"1","dystonin"
"Nuf2",-0.0746327935154572,0.7368,"1","NUF2, NDC80 kinetochore complex component"
"Gatad1",-0.0746228362241181,0.5616,"5","GATA zinc finger domain containing 1"
"Igsf3",0.0746223224674338,0.4544,"3","immunoglobulin superfamily, member 3"
"Zfp266",0.0745960268838735,0.5588,"9","zinc finger protein 266"
"Ube4a",0.0745759978854839,0.6644,"9","ubiquitination factor E4A"
"St7",0.0745742170210111,0.4716,"6","suppression of tumorigenicity 7"
"Fxyd7",-0.0745362554154783,0.7756,"7","FXYD domain-containing ion transport regulator 7"
"Ercc2",-0.0745227077986295,0.6356,"7","excision repair cross-complementing rodent repair deficiency, complementation group 2"
"Sdhaf1",-0.0745190362003756,0.8036,"7","succinate dehydrogenase complex assembly factor 1"
"Pacsin2",0.074512440332537,0.3464,"15","protein kinase C and casein kinase substrate in neurons 2"
"Exoc3",0.0745105042173737,0.3248,"13","exocyst complex component 3"
"Lrig2",-0.0744470470631589,0.6364,"3","leucine-rich repeats and immunoglobulin-like domains 2"
"Ankrd40",0.0744200667782389,0.73,"11","ankyrin repeat domain 40"
"Sppl3",-0.0744196738833551,0.6348,"5","signal peptide peptidase 3"
"Ankrd28",0.0744119744704221,0.7448,"14","ankyrin repeat domain 28"
"Lix1l",0.0744093999115458,0.4752,"3","Lix1-like"
"Dnhd1",-0.0743591486094273,0.8012,"7","dynein heavy chain domain 1"
"Lama3",-0.0743344858433959,0.7064,"18","laminin, alpha 3"
"Tmem185b",0.074332011813059,0.568,"1","transmembrane protein 185B"
"Tbc1d17",-0.0743285808555996,0.4452,"7","TBC1 domain family, member 17"
"Thsd1",-0.0743146363281804,0.7744,"8","thrombospondin, type I, domain 1"
"Parp8",-0.0743053460476659,0.5376,"13","poly (ADP-ribose) polymerase family, member 8"
"Pdcd2",-0.0742732453108452,0.6508,"17","programmed cell death 2"
"Vps4a",-0.0742488013661609,0.4048,"8","vacuolar protein sorting 4A"
"Colgalt1",-0.0742190420216895,0.5216,"8","collagen beta(1-O)galactosyltransferase 1"
"Pgam5",0.0742069977931958,0.2172,"5","phosphoglycerate mutase family member 5"
"Jmjd8",-0.0742036881756283,0.63,"17","jumonji domain containing 8"
"Hcn2",-0.0741895423704149,0.724,"10","hyperpolarization-activated, cyclic nucleotide-gated K+ 2"
"Msrb3",0.0741861641040149,0.7872,"10","methionine sulfoxide reductase B3"
"Dock3",0.0741782255966434,0.5748,"9","dedicator of cyto-kinesis 3"
"Slc7a6os",-0.0741629046738144,0.4456,"8","solute carrier family 7, member 6 opposite strand"
"Homer3",-0.0741558558234781,0.6056,"8","homer scaffolding protein 3"
"Actb",-0.074107375739267,0.756,"5","actin, beta"
"Lsg1",-0.0740948934172958,0.29,"16","large 60S subunit nuclear export GTPase 1"
"Smad4",0.0740823035210179,0.3592,"18","SMAD family member 4"
"Zpr1",-0.0740707317692229,0.4764,"9","ZPR1 zinc finger"
"Lfng",-0.0740222924306191,0.6648,"5","LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase"
"Mfap1b",0.074020858587895,0.3172,"2","microfibrillar-associated protein 1B"
"Ppp1r11",-0.0740081773420487,0.7332,"17","protein phosphatase 1, regulatory inhibitor subunit 11"
"Map3k14",-0.0739639865894799,0.6144,"11","mitogen-activated protein kinase kinase kinase 14"
"Egfr",0.0739490266879343,0.6352,"11","epidermal growth factor receptor"
"Oat",-0.0739483268340839,0.568,"7","ornithine aminotransferase"
"Ngrn",-0.0739341652917247,0.6648,"7","neugrin, neurite outgrowth associated"
"Nkapd1",0.0738774277775462,0.4956,"9","NKAP domain containing 1"
"H13",-0.0738555330919013,0.0172,"2","histocompatibility 13"
"Stard8",0.0738324982086809,0.794,"X","START domain containing 8"
"U2af1l4",-0.0738294489396667,0.6848,"7","U2 small nuclear RNA auxiliary factor 1-like 4"
"Cpne6",-0.0738203707641922,0.5308,"14","copine VI"
"Wdr5",-0.0737943778570447,0.2184,"2","WD repeat domain 5"
"Rtn4ip1",-0.0737924842606219,0.3456,"10","reticulon 4 interacting protein 1"
"C2cd4c",0.0737773914580315,0.7156,"10","C2 calcium-dependent domain containing 4C"
"Pigg",0.073760444637335,0.5632,"5","phosphatidylinositol glycan anchor biosynthesis, class G"
"Cops5",-0.0737572730064269,0.5,"1","COP9 signalosome subunit 5"
"Taf12",-0.0737558262373001,0.698,"4","TATA-box binding protein associated factor 12"
"Hif1an",0.0737502014748905,0.6376,"19","hypoxia-inducible factor 1, alpha subunit inhibitor"
"Ube2k",0.0737401168056451,0.3328,"5","ubiquitin-conjugating enzyme E2K"
"Dnmt3a",0.0737118015452571,0.7664,"12","DNA methyltransferase 3A"
"Vsig2",-0.0737116962396316,0.5528,"9","V-set and immunoglobulin domain containing 2"
"Slc35a2",-0.0736876374421209,0.5104,"X","solute carrier family 35 (UDP-galactose transporter), member A2"
"Ptp4a3",-0.0736874057699142,0.4112,"15","protein tyrosine phosphatase 4a3"
"Zfp831",0.0736783246196593,0.7316,"2","zinc finger protein 831"
"Cdr2l",0.0736680215126544,0.4688,"11","cerebellar degeneration-related protein 2-like"
"Csrp1",-0.0736262204136668,0.7752,"1","cysteine and glycine-rich protein 1"
"Klhl29",0.0735903192279475,0.5308,"12","kelch-like 29"
"Tardbp",0.0735869577704014,0.4632,"4","TAR DNA binding protein"
"Bicc1",0.0735859235674261,0.7724,"10","BicC family RNA binding protein 1"
"Gpr162",-0.0735577422598421,0.5504,"6","G protein-coupled receptor 162"
"Cotl1",0.0735519961356461,0.6676,"8","coactosin-like 1 (Dictyostelium)"
"9130401M01Rik",-0.0735367201697805,0.7144,"15","RIKEN cDNA 9130401M01 gene"
"Calcoco1",0.0735152274068769,0.434,"15","calcium binding and coiled coil domain 1"
"Phlpp2",0.0734832356193964,0.6412,"8","PH domain and leucine rich repeat protein phosphatase 2"
"Rassf4",0.0734518059572049,0.728,"6","Ras association (RalGDS/AF-6) domain family member 4"
"Alkbh1",-0.0734436737776121,0.6852,"12","alkB homolog 1, histone H2A dioxygenase"
"Alkbh1",-0.0734436737776121,0.6852,"12","alkB homolog 1, histone H2A dioxygenase"
"Smg6",0.0734089241486657,0.3196,"11","SMG6 nonsense mediated mRNA decay factor"
"Kif7",0.0734070451139113,0.7192,"7","kinesin family member 7"
"Dnajb4",0.0733994036051477,0.5176,"3","DnaJ heat shock protein family (Hsp40) member B4"
"Junb",0.073376196306266,0.808,"8","jun B proto-oncogene"
"Zfp827",0.073362458799922,0.5008,"8","zinc finger protein 827"
"Rbbp5",0.0733380077909915,0.48,"1","retinoblastoma binding protein 5, histone lysine methyltransferase complex subunit"
"Glg1",0.0733274243458162,0.2276,"8","golgi apparatus protein 1"
"Kdm2a",0.0732833844169498,0.6312,"19","lysine (K)-specific demethylase 2A"
"Ppp1r3f",-0.0732669553120369,0.2036,"X","protein phosphatase 1, regulatory subunit 3F"
"Nap1l5",0.073265521169211,0.5928,"6","nucleosome assembly protein 1-like 5"
"Rexo2",-0.073262609378852,0.7328,"9","RNA exonuclease 2"
"Lsm11",0.0732424146473694,0.6232,"11","U7 snRNP-specific Sm-like protein LSM11"
"Zfp523",-0.073216121117059,0.4964,"17","zinc finger protein 523"
"Siglech",0.0731986044627972,0.9756,"7","sialic acid binding Ig-like lectin H"
"Klc1",0.0731958436647702,0.378,"12","kinesin light chain 1"
"Frg2f1",-0.0731599064025592,0.766,"4","FSHD region gene 2 family member 1"
"Scn3b",0.0731461146195258,0.6068,"9","sodium channel, voltage-gated, type III, beta"
"Gltp",-0.0731340801608003,0.7836,"5","glycolipid transfer protein"
"Prrt2",0.0731257064044133,0.5544,"7","proline-rich transmembrane protein 2"
"Tmem44",-0.0731140985534653,0.5316,"16","transmembrane protein 44"
"Msl1",0.0731071748269807,0.528,"11","male specific lethal 1"
"Patl1",0.0730992585869954,0.2932,"19","protein associated with topoisomerase II homolog 1 (yeast)"
"Rtel1",-0.0730974812531642,0.7396,"2","regulator of telomere elongation helicase 1"
"Gpr19",-0.0730931288805641,0.7036,"6","G protein-coupled receptor 19"
"Commd6",-0.0730896228779683,0.6156,"14","COMM domain containing 6"
"Zfp592",0.0730842952939144,0.4728,"7","zinc finger protein 592"
"Slc24a3",0.0730682366905668,0.5632,"2","solute carrier family 24 (sodium/potassium/calcium exchanger), member 3"
"Noa1",-0.0730535261491321,0.5384,"5","nitric oxide associated 1"
"Mtx2",-0.0730082676102048,0.5324,"2","metaxin 2"
"Bend6",0.0729991821061882,0.5092,"1","BEN domain containing 6"
"Gas7",0.072987018364012,0.3944,"11","growth arrest specific 7"
"Galk1",-0.07297154430012,0.7248,"11","galactokinase 1"
"Clybl",-0.0729467503453041,0.7308,"14","citrate lyase beta like"
"Ap1m1",-0.0729327859215134,0.304,"8","adaptor-related protein complex AP-1, mu subunit 1"
"Nbl1",-0.0728961794870218,0.6088,"4","NBL1, DAN family BMP antagonist"
"Tbrg4",-0.0728806512689664,0.2492,"11","transforming growth factor beta regulated gene 4"
"Adora1",0.0728590822735704,0.4688,"1","adenosine A1 receptor"
"Msi2",0.0728398588290524,0.3304,"11","musashi RNA-binding protein 2"
"Pik3ca",0.0728319718454475,0.3764,"3","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
"Safb2",-0.0727997927915469,0.756,"17","scaffold attachment factor B2"
"Osgin2",0.0727802958545118,0.5272,"4","oxidative stress induced growth inhibitor family member 2"
"Il11ra1",-0.072765013863191,0.6104,"4","interleukin 11 receptor, alpha chain 1"
"9330159F19Rik",0.0727585391534076,0.656,"10","RIKEN cDNA 9330159F19 gene"
"Ube2b",-0.0727498148971657,0.406,"11","ubiquitin-conjugating enzyme E2B"
"Vldlr",0.0727255943873768,0.6696,"19","very low density lipoprotein receptor"
"Nav2",0.0727151741602423,0.7832,"7","neuron navigator 2"
"Inppl1",0.0727058109773147,0.5808,"7","inositol polyphosphate phosphatase-like 1"
"Cdadc1",0.0726858596760191,0.1164,"14","cytidine and dCMP deaminase domain containing 1"
"Slc25a33",-0.0726734257480564,0.6772,"4","solute carrier family 25, member 33"
"Oaz2",-0.0726502775978677,0.6564,"9","ornithine decarboxylase antizyme 2"
"Rnd2",0.0726441347971925,0.7852,"11","Rho family GTPase 2"
"Unc5a",-0.072638519568307,0.5068,"13","unc-5 netrin receptor A"
"Ccnf",0.0725817702079823,0.8252,"17","cyclin F"
"Slc6a7",-0.0725716548800293,0.766,"18","solute carrier family 6 (neurotransmitter transporter, L-proline), member 7"
"Grik4",0.0725708134266778,0.7388,"9","glutamate receptor, ionotropic, kainate 4"
"Kctd9",-0.0725610461313013,0.6816,"14","potassium channel tetramerisation domain containing 9"
"Ptpru",-0.0725487287988429,0.738,"4","protein tyrosine phosphatase, receptor type, U"
"Gpr83",0.0725156796222364,0.724,"9","G protein-coupled receptor 83"
"Prelid1",-0.0725014175028402,0.7152,"13","PRELI domain containing 1"
"Sh3gl2",0.0724836870867636,0.308,"4","SH3-domain GRB2-like 2"
"Chd4",0.0724627118085959,0.3748,"6","chromodomain helicase DNA binding protein 4"
"Sbds",-0.07244998248978,0.63,"5","SBDS ribosome maturation factor"
"Carns1",0.0724421960377972,0.7624,"19","carnosine synthase 1"
"Ttc7",0.0724355268731989,0.7004,"17","tetratricopeptide repeat domain 7"
"Hax1",-0.0724350787531929,0.6988,"3","HCLS1 associated X-1"
"Ctdp1",-0.072408407917214,0.1492,"18","CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) phosphatase, subunit 1"
"Cyp2j6",-0.0723805231931154,0.2412,"4","cytochrome P450, family 2, subfamily j, polypeptide 6"
"Aifm2",0.0723565744200694,0.7692,"10","apoptosis-inducing factor, mitochondrion-associated 2"
"Hspb8",-0.0723487710338588,0.7348,"5","heat shock protein 8"
"Foxo1",0.0723471559168658,0.548,"3","forkhead box O1"
"Sf3b4",0.072346140607034,0.6444,"3","splicing factor 3b, subunit 4"
"Pde4b",0.0723082146247007,0.56,"4","phosphodiesterase 4B, cAMP specific"
"Nup133",0.072307106001122,0.4172,"8","nucleoporin 133"
"Cwc27",-0.0723017995012074,0.6388,"13","CWC27 spliceosome-associated protein"
"Zfp608",0.0722966156162048,0.5468,"18","zinc finger protein 608"
"Vps25",-0.0722901926153732,0.6792,"11","vacuolar protein sorting 25"
"Zfp710",0.0722836836113414,0.4884,"7","zinc finger protein 710"
"Ccdc107",-0.0722555578600881,0.7284,"4","coiled-coil domain containing 107"
"Ccdc148",-0.0722099732669665,0.6824,"2","coiled-coil domain containing 148"
"Bbs1",-0.0721912068239403,0.4464,"19","Bardet-Biedl syndrome 1 (human)"
"Hpdl",0.0721560410780775,0.8436,"4","4-hydroxyphenylpyruvate dioxygenase-like"
"L3mbtl2",-0.0721518919703339,0.3052,"15","L3MBTL2 polycomb repressive complex 1 subunit"
"Dok7",-0.0721418639845792,0.7076,"5","docking protein 7"
"Aldoc",-0.0721237820902019,0.7872,"11","aldolase C, fructose-bisphosphate"
"Gm15328",-0.0721126702910861,0.864,"18","predicted gene 15328"
"Dok4",0.0720851363318316,0.5224,"8","docking protein 4"
"Tbc1d24",0.0720747298560385,0.664,"17","TBC1 domain family, member 24"
"Perp",0.0720617204644829,0.8308,"10","PERP, TP53 apoptosis effector"
"Mrps18b",0.0720431620147899,0.562,"17","mitochondrial ribosomal protein S18B"
"Rad17",0.0720168448512544,0.3656,"13","RAD17 checkpoint clamp loader component"
"Tsen2",-0.0720110058157002,0.452,"6","tRNA splicing endonuclease subunit 2"
"Uck1",-0.071997453559641,0.5136,"2","uridine-cytidine kinase 1"
"Pde7a",0.0719812167502454,0.634,"3","phosphodiesterase 7A"
"Cyp7b1",-0.0719537976159854,0.5112,"3","cytochrome P450, family 7, subfamily b, polypeptide 1"
"Kcnc1",0.0719529266099954,0.6872,"7","potassium voltage gated channel, Shaw-related subfamily, member 1"
"Dnlz",-0.0719247800481533,0.6012,"2","DNL-type zinc finger"
"Ntn3",0.0719096577578,0.5176,"17","netrin 3"
"Cerox1",0.0718886816141433,0.6092,"17","cytoplasmic endogenous regulator of oxidative phosphorylation 1"
"Nacc1",0.0718838564448667,0.2956,"8","nucleus accumbens associated 1, BEN and BTB (POZ) domain containing"
"Tmem218",0.0718458270067344,0.6972,"9","transmembrane protein 218"
"Tceal1",0.0718456815326114,0.6428,"X","transcription elongation factor A (SII)-like 1"
"Sidt2",-0.0718430625966384,0.5468,"9","SID1 transmembrane family, member 2"
"Letmd1",-0.0718396547106197,0.5508,"15","LETM1 domain containing 1"
"Trafd1",-0.0717946111260908,0.3672,"5","TRAF type zinc finger domain containing 1"
"Gca",-0.0717910069764844,0.7536,"2","grancalcin"
"Adcy2",-0.0717610399352431,0.5856,"13","adenylate cyclase 2"
"Arpin",0.0717328832384263,0.6004,"7","actin-related protein 2/3 complex inhibitor"
"Wdr3",0.0717220561395111,0.468,"3","WD repeat domain 3"
"Mtus1",-0.0716588669029798,0.5612,"8","mitochondrial tumor suppressor 1"
"Snx11",-0.0716455213623881,0.454,"11","sorting nexin 11"
"Arpp19",0.0716454314627128,0.5592,"9","cAMP-regulated phosphoprotein 19"
"Anapc16",-0.071587506517651,0.732,"10","anaphase promoting complex subunit 16"
"Sesn3",0.0715731730354277,0.7288,"9","sestrin 3"
"Mob3c",-0.071561392480417,0.6256,"4","MOB kinase activator 3C"
"Ogt",0.0715550415262109,0.716,"X","O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)"
"Crkl",0.0715418803708179,0.424,"16","v-crk avian sarcoma virus CT10 oncogene homolog-like"
"Pcsk7",-0.0715107410802123,0.3232,"9","proprotein convertase subtilisin/kexin type 7"
"Atg5",-0.0715089501446196,0.5476,"10","autophagy related 5"
"Phpt1",-0.071508312722381,0.7044,"2","phosphohistidine phosphatase 1"
"Prr14",0.0714960840936527,0.4956,"7","proline rich 14"
"Fgf13",0.0714918139225205,0.6784,"X","fibroblast growth factor 13"
"Wipf2",0.0714679677960417,0.4188,"11","WAS/WASL interacting protein family, member 2"
"Hdhd2",-0.07142809338304,0.4264,"18","haloacid dehalogenase-like hydrolase domain containing 2"
"Top1mt",-0.0714113984361058,0.432,"15","DNA topoisomerase 1, mitochondrial"
"Mycl",0.0713659566622669,0.4028,"4","v-myc avian myelocytomatosis viral oncogene lung carcinoma derived"
"Ntsr2",-0.0713627878334711,0.6988,"12","neurotensin receptor 2"
"Rab3ip",0.0713530211216398,0.136,"10","RAB3A interacting protein"
"Nr3c2",0.0713491477695154,0.234,"8","nuclear receptor subfamily 3, group C, member 2"
"Map7d1",0.0713203479053188,0.2544,"4","MAP7 domain containing 1"
"Ttc5",-0.0713190474537475,0.4664,"14","tetratricopeptide repeat domain 5"
"Cers2",-0.0712766976175692,0.6864,"3","ceramide synthase 2"
"Usp24",0.0712635747699615,0.6268,"4","ubiquitin specific peptidase 24"
"Rnf122",0.0712558004913411,0.7108,"8","ring finger protein 122"
"Mocs1",-0.0712068542884086,0.7252,"17","molybdenum cofactor synthesis 1"
"Pcid2",-0.0711847352617117,0.1384,"8","PCI domain containing 2"
"Dyrk1b",0.0711781916927983,0.3316,"7","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b"
"Tut4",0.0711658881846855,0.738,"4","terminal uridylyl transferase 4"
"Matr3",0.071158312664668,0.4988,"18","matrin 3"
"Dnajc19",-0.0711235721985304,0.6912,"3","DnaJ heat shock protein family (Hsp40) member C19"
"Igsf11",0.0710955926893746,0.3784,"16","immunoglobulin superfamily, member 11"
"Rhno1",-0.0710486284024721,0.5864,"6","RAD9-HUS1-RAD1 interacting nuclear orphan 1"
"Nrsn1",0.0710435637551106,0.6864,"13","neurensin 1"
"Cnst",0.0710258788479603,0.2356,"1","consortin, connexin sorting protein"
"Plpp3",-0.0709993726068099,0.7152,"4","phospholipid phosphatase 3"
"Phf21a",0.0709774982998832,0.4944,"2","PHD finger protein 21A"
"Galntl6",0.0709731642394553,0.876,"8","UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 6"
"Ttc19",0.0709652340673124,0.1768,"11","tetratricopeptide repeat domain 19"
"Plppr3",-0.0709376213974178,0.4596,"10","phospholipid phosphatase related 3"
"Wnt7b",-0.0709359578619901,0.608,"15","wingless-type MMTV integration site family, member 7B"
"Gosr2",-0.0709244190693443,0.3056,"11","golgi SNAP receptor complex member 2"
"Dock1",0.0708966291260813,0.5976,"7","dedicator of cytokinesis 1"
"Agk",0.0708837448218107,0.3236,"6","acylglycerol kinase"
"Chst2",0.0708664939122423,0.512,"9","carbohydrate sulfotransferase 2"
"Macroh2a1",-0.0708493192119555,0.5668,"13","macroH2A.1 histone"
"Asb13",0.0708474542649835,0.4532,"13","ankyrin repeat and SOCS box-containing 13"
"Xab2",-0.070833600922696,0.4132,"8","XPA binding protein 2"
"Uba3",0.0707925860586771,0.5864,"6","ubiquitin-like modifier activating enzyme 3"
"Mogs",-0.0707911249620246,0.3692,"6","mannosyl-oligosaccharide glucosidase"
"Zdhhc6",-0.0707773499392399,0.3452,"19","zinc finger, DHHC domain containing 6"
"Erich1",0.070706044144917,0.5112,"8","glutamate rich 1"
"Crebl2",0.0707055331848903,0.4868,"6","cAMP responsive element binding protein-like 2"
"Cend1",0.0707052509783006,0.4112,"7","cell cycle exit and neuronal differentiation 1"
"Plekhg3",-0.0706670968322189,0.7856,"12","pleckstrin homology domain containing, family G (with RhoGef domain) member 3"
"Zfp341",-0.0706476343229845,0.3928,"2","zinc finger protein 341"
"Mcm7",0.0706404482908241,0.5848,"5","minichromosome maintenance complex component 7"
"Hspa2",0.0706158991489358,0.184,"12","heat shock protein 2"
"Ino80dos",-0.0706018409617699,0.668,"1","INO80 complex subunit D, opposite strand"
"Ccnt2",0.0705981340640331,0.8456,"1","cyclin T2"
"Dffa",-0.0705965937532795,0.354,"4","DNA fragmentation factor, alpha subunit"
"Npas1",-0.0705946827678723,0.7188,"7","neuronal PAS domain protein 1"
"Rbx1",-0.0704912021206132,0.6864,"15","ring-box 1"
"Entpd6",-0.0704732848386493,0.2192,"2","ectonucleoside triphosphate diphosphohydrolase 6"
"Rreb1",-0.0704579021628016,0.8912,"13","ras responsive element binding protein 1"
"Pdia6",-0.0704549112106196,0.6772,"12","protein disulfide isomerase associated 6"
"Abcd4",-0.070444570217604,0.642,"12","ATP-binding cassette, sub-family D (ALD), member 4"
"Chga",0.0704404357310935,0.468,"12","chromogranin A"
"Srsf2",-0.0703750904058582,0.3024,"11","serine and arginine-rich splicing factor 2"
"Pigq",-0.0703356884493456,0.1968,"17","phosphatidylinositol glycan anchor biosynthesis, class Q"
"Lipo3",-0.0703291767832481,0.6648,"19","lipase, member O3"
"Zbtb22",-0.0702739034633044,0.45,"17","zinc finger and BTB domain containing 22"
"Stambp",0.0702520063907093,0.356,"6","STAM binding protein"
"Exoc5",0.0702475806577265,0.562,"14","exocyst complex component 5"
"Slco1a4",-0.0702341815061729,0.7468,"6","solute carrier organic anion transporter family, member 1a4"
"Mok",-0.0701464364571658,0.422,"12","MOK protein kinase"
"Tm7sf2",-0.0701343757543702,0.6492,"19","transmembrane 7 superfamily member 2"
"Rnf141",0.0701111076302401,0.6556,"7","ring finger protein 141"
"Tm2d3",-0.070101833649181,0.6552,"7","TM2 domain containing 3"
"Cbwd1",0.0700843812471725,0.6644,"19","COBW domain containing 1"
"Tnnt2",0.0700732625169211,0.9356,"1","troponin T2, cardiac"
"Lurap1",0.0700694331264224,0.598,"4","leucine rich adaptor protein 1"
"Tfip11",0.0700670968531094,0.45,"5","tuftelin interacting protein 11"
"Lysmd1",0.0700635059351282,0.7028,"3","LysM, putative peptidoglycan-binding, domain containing 1"
"Wdr66",-0.0700265543933398,0.6856,"5","WD repeat domain 66"
"Urb1",-0.0699980330801044,0.7608,"16","URB1 ribosome biogenesis 1 homolog (S. cerevisiae)"
"Crnkl1",0.0699874159656466,0.6136,"2","crooked neck pre-mRNA splicing factor 1"
"Map3k6",-0.0699837626628983,0.7832,"4","mitogen-activated protein kinase kinase kinase 6"
"Mrpl49",-0.0699827786553655,0.608,"19","mitochondrial ribosomal protein L49"
"Prdm10",0.0699735922053533,0.7364,"9","PR domain containing 10"
