"symbol","logFC","P.Value","chr","description"
"Thsd4",0.484080565935852,0.084,"9","thrombospondin, type I, domain containing 4"
"Kcnh4",-0.482477068056235,0.1492,"11","potassium voltage-gated channel, subfamily H (eag-related), member 4"
"Fxyd1",-0.480303814155637,0.378,"7","FXYD domain-containing ion transport regulator 1"
"Ifit1",-0.479546765165321,0.0648,"19","interferon-induced protein with tetratricopeptide repeats 1"
"Iyd",0.479265036778121,0.222,"10","iodotyrosine deiodinase"
"Eif4ebp3",-0.477687446917687,0.1792,"18","eukaryotic translation initiation factor 4E binding protein 3"
"Col9a3",-0.477627617300563,0.2964,"2","collagen, type IX, alpha 3"
"Tjp3",-0.477477160395923,0.4084,"10","tight junction protein 3"
"Atp5k",-0.477276513990716,0.1844,"5","ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E"
"Hspb1",-0.477117002234237,0.1532,"5","heat shock protein 1"
"Dock8",0.47703060171244,0.3804,"19","dedicator of cytokinesis 8"
"Col6a1",-0.476179825949271,0.0528,"10","collagen, type VI, alpha 1"
"Uqcrq",-0.47522222804897,0.1544,"11","ubiquinol-cytochrome c reductase, complex III subunit VII"
"Cldn2",0.474517912795534,0.9216,"X","claudin 2"
"Ifit3",-0.474514901765114,0.1804,"19","interferon-induced protein with tetratricopeptide repeats 3"
"Fxyd5",-0.473637220863485,0.0608,"7","FXYD domain-containing ion transport regulator 5"
"Lmcd1",-0.473002102263809,0.1424,"6","LIM and cysteine-rich domains 1"
"Inhba",0.471922583766882,0.0816,"13","inhibin beta-A"
"Nyap2",0.471368212354271,0.2272,"1","neuronal tyrosine-phophorylated phosphoinositide 3-kinase adaptor 2"
"Atp5e",-0.471233147882415,0.2456,"2","ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit"
"L3mbtl1",-0.469601004754494,0.1828,"2","L3MBTL1 histone methyl-lysine binding protein"
"Cort",-0.46719156591009,0.3452,"4","cortistatin"
"Inpp5d",0.467006304628875,0.5844,"1","inositol polyphosphate-5-phosphatase D"
"Fv1",0.466588672031285,0.2504,"4","Friend virus susceptibility 1"
"Hs6st3",0.466529912441165,0.558,"14","heparan sulfate 6-O-sulfotransferase 3"
"Calhm5",0.466023149518624,0,"10","calcium homeostasis modulator family member 5"
"Aldob",-0.464676888357482,0.1872,"4","aldolase B, fructose-bisphosphate"
"Kcnj2",0.464152091533008,0.006,"11","potassium inwardly-rectifying channel, subfamily J, member 2"
"Acta2",-0.463312222615227,0.084,"19","actin alpha 2, smooth muscle, aorta"
"Fndc8",-0.462998047242444,0.3412,"11","fibronectin type III domain containing 8"
"St3gal1",-0.461998743976901,0.0908,"15","ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
"H2-DMa",-0.461711219692952,0.0684,"17","histocompatibility 2, class II, locus DMa"
"Socs4",0.46171029601583,0.282,"14","suppressor of cytokine signaling 4"
"Prkn",-0.461651778709643,0.2456,"17","parkin RBR E3 ubiquitin protein ligase"
"Dbp",-0.461425294929589,0.062,"7","D site albumin promoter binding protein"
"Rasl10a",-0.460301468741604,0.1176,"11","RAS-like, family 10, member A"
"Mapk12",-0.459186915288264,0.0084,"15","mitogen-activated protein kinase 12"
"Ndnf",0.459011841924964,0.2736,"6","neuron-derived neurotrophic factor"
"Acta1",-0.458496751603846,0.0552,"8","actin alpha 1, skeletal muscle"
"Lrrc3",0.457240872497039,0.5456,"10","leucine rich repeat containing 3"
"Ncam2",0.45650043092133,0.3436,"16","neural cell adhesion molecule 2"
"Trappc6a",-0.455176342834811,0.1372,"7","trafficking protein particle complex 6A"
"Nbdy",-0.453649208658781,0.0684,"X","negative regulator of P-body association"
"Pdzd2",0.453554586994037,0.0356,"15","PDZ domain containing 2"
"Mrpl33",-0.453002945226127,0.0972,"5","mitochondrial ribosomal protein L33"
"Htr2a",0.451352168662345,0.6228,"14","5-hydroxytryptamine (serotonin) receptor 2A"
"Atp5g2",-0.451196273555455,0.2032,"15","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C2 (subunit 9)"
"Cish",-0.451168848745312,0.3336,"9","cytokine inducible SH2-containing protein"
"Crtap",-0.450580737119259,0.1676,"9","cartilage associated protein"
"Rpl6",-0.450237580749371,0.1684,"5","ribosomal protein L6"
"Calml4",-0.449846512742045,0.6172,"9","calmodulin-like 4"
"Krt18",-0.448743685692325,0.71,"15","keratin 18"
"Dcdc2b",-0.446471593033457,0.0912,"4","doublecortin domain containing 2b"
"Fhod1",-0.445792476354419,0.4004,"8","formin homology 2 domain containing 1"
"Zfp536",0.444815429332943,0.37,"7","zinc finger protein 536"
"Slc39a2",-0.444665335795209,0.2372,"14","solute carrier family 39 (zinc transporter), member 2"
"Cdh23",0.444506279713096,0.3796,"10","cadherin 23 (otocadherin)"
"Sema3c",0.444428814952794,0.0324,"5","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C"
"Ndufa2",-0.444072803441847,0.2136,"18","NADH:ubiquinone oxidoreductase subunit A2"
"Myh6",-0.443620329021921,0.3864,"14","myosin, heavy polypeptide 6, cardiac muscle, alpha"
"Shkbp1",-0.443253761457698,0.19,"7","Sh3kbp1 binding protein 1"
"Zfp853",-0.44318049991986,0.0056,"5","zinc finger protein 853"
"Ndufb7",-0.443077102322572,0.2204,"8","NADH:ubiquinone oxidoreductase subunit B7"
"Ago3",0.442964114519534,0.4192,"4","argonaute RISC catalytic subunit 3"
"Cdh22",-0.439851874624276,0.124,"2","cadherin 22"
"Sec61b",-0.439712088828421,0.1436,"4","Sec61 beta subunit"
"Rps19",-0.439316457988944,0.2636,"7","ribosomal protein S19"
"Lgals1",-0.4390910305565,0.24,"15","lectin, galactose binding, soluble 1"
"Rps29",-0.438997148649559,0.2412,"12","ribosomal protein S29"
"Jsrp1",-0.438735110787266,0.4296,"10","junctional sarcoplasmic reticulum protein 1"
"Dcn",0.438469285067662,0.6716,"10","decorin"
"Ddi2",0.437438627852656,0.3096,"4","DNA-damage inducible protein 2"
"A230077H06Rik",-0.436899554296855,0.2944,"7","RIKEN cDNA A230077H06 gene"
"Myl9",-0.435374414274007,0.1104,"2","myosin, light polypeptide 9, regulatory"
"Gpr26",0.434989381001473,0.3512,"7","G protein-coupled receptor 26"
"Rdh5",-0.43487696015894,0.6256,"10","retinol dehydrogenase 5"
"H2-D1",-0.434046344710857,0.1844,"17","histocompatibility 2, D region locus 1"
"Fstl5",0.433109635245245,0.1808,"3","follistatin-like 5"
"Prkd2",-0.431624409081101,0.0924,"7","protein kinase D2"
